Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
J. Herbert LAC,@ DEN,15,34,21,237,1,0,0,4,2,0,0,0,0,0,0,0,6
K. Murray ARI,@ GB,14,32,22,214,1,0,0,7,14,0,0,0,0,0,0,1,6
G. Smith SEA,vs SF,14,52,30,312,1,2,0,1,0,0,0,0,0,0,0,0,6
A. O'Connell LV,vs PIT,13,40,27,227,1,1,0,0,0,0,0,0,0,0,0,0,6
S. Rattler NO,vs TB,13,40,22,243,1,2,0,4,27,0,0,0,0,0,0,0,6
D. Jones MIN,@ NYG,11,41,22,205,0,1,0,11,56,0,0,0,0,0,0,0,6
W. Levis TEN,vs IND,8,27,16,95,1,1,0,3,15,0,0,0,0,0,0,0,6
D. Watson CLE,@ PHI,7,23,16,168,0,0,0,4,17,0,0,0,0,0,0,0,6
D. Prescott DAL,vs DET,3,33,17,178,0,2,0,1,1,0,0,0,0,0,0,0,6
T. Bagent CHI,vs JAX,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,6
H. Hooker DET,@ DAL,0,2,1,19,0,0,0,1,-1,0,0,0,0,0,0,0,6
M. Jones JAX,@ CHI,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6
D. Mills HOU,@ NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
C. Rush DAL,vs DET,-1,11,8,46,0,1,0,1,2,0,0,0,0,0,0,0,6
L. Jackson BAL,@ TB,45,22,17,281,5,0,0,9,52,0,0,0,0,0,0,1,7
B. Mayfield TB,vs BAL,32,45,31,370,3,2,1,5,22,0,0,0,0,0,0,0,7
R. Wilson PIT,vs NYJ,28,29,16,264,2,0,0,3,3,1,0,0,0,0,0,0,7
J. Allen BUF,vs TEN,24,33,21,323,2,0,0,3,1,0,0,0,0,0,0,0,7
J. Hurts PHI,@ NYG,24,14,10,114,1,0,0,7,22,2,0,0,0,0,0,0,7
